message_id,detected_class,confidence_score,image_category
10,,0.0,other
11,clock,0.4272936284542084,other
13,"donut, hot dog",0.5038546919822693,other
14,,0.0,other
15,,0.0,other
17,bottle,0.5259650349617004,product_display
18,,0.0,other
19,"person, dining table",0.9401442408561707,lifestyle
2,bottle,0.38718265295028687,product_display
20,"person, dining table",0.9401442408561707,lifestyle
21,bird,0.25255754590034485,other
22,stop sign,0.27750536799430847,other
23,cell phone,0.610697865486145,other
25,"cell phone, person",0.8613103628158569,lifestyle
26,"book, cup, person",0.8275559544563293,promotional
27,,0.0,other
29,"person, surfboard",0.6185224652290344,lifestyle
3,,0.0,other
30,person,0.4139041602611542,lifestyle
31,bottle,0.5125073790550232,product_display
32,person,0.5881935954093933,lifestyle
33,"book, orange",0.6712222695350647,other
34,,0.0,other
38,,0.0,other
39,mouse,0.9113696217536926,other
4,,0.0,other
40,person,0.7191462516784668,lifestyle
41,person,0.4210361838340759,lifestyle
43,"chair, person",0.8564761877059937,lifestyle
44,"cell phone, person",0.9386716485023499,lifestyle
45,scissors,0.6319935321807861,other
46,"person, tv",0.8272138833999634,lifestyle
48,,0.0,other
